SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET HO (peildatum 1 oktober 2011);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00DI;2;22;Leek;vwo;diploma;ec/maat;21PC;wo;economie;85;Ooststellingwerf;1
00DI;2;22;Leek;vwo;diploma;ec/maat;21PC;wo;economie;1699;Noordenveld;2
00DI;2;22;Leek;vwo;diploma;ec/maat;21PC;wo;recht;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;ec/maat;21PC;wo;gedrag en maatschappij;22;Leek;1
00DI;2;22;Leek;vwo;diploma;cul/maat;21PC;wo;taal en cultuur;14;Groningen;2
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;22;Leek;3
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;935;Maastricht;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;1699;Noordenveld;4
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;techniek;14;Groningen;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;techniek;22;Leek;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;techniek;25;Marum;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;techniek;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;25;Marum;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;economie;25;Marum;2
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PC;wo;economie;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PD;wo;gezondheidszorg;355;Zeist;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PG;wo;techniek;772;Eindhoven;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PH;wo;techniek;153;Enschede;1
00DI;2;22;Leek;vwo;diploma;nat/tech & nat/gezond;21PJ;wo;gezondheidszorg;935;Maastricht;1
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PC;wo;recht;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PC;wo;gedrag en maatschappij;22;Leek;2
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PC;wo;taal en cultuur;14;Groningen;1
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PC;wo;taal en cultuur;22;Leek;2
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PC;wo;taal en cultuur;1699;Noordenveld;1
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PK;wo;gedrag en maatschappij;392;Haarlem;1
00DI;2;22;Leek;vwo;diploma;ec/maat & cul/maat;21PL;wo;gedrag en maatschappij;22;Leek;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PB;wo;natuur;1783;Westland;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PB;wo;natuur;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PB;wo;natuur;1926;Pijnacker-Nootdorp;1
