SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET HO (peildatum 1 oktober 2014);;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;518;s-Gravenhage;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;168;Losser;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;153;Enschede;6
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;164;Hengelo;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;168;Losser;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PK;WO;economie;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PC;WO;economie;14;Groningen;2
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PC;WO;recht;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PD;WO;economie;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PD;WO;taal en cultuur;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PH;WO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PH;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PK;WO;gedrag en maatschappij;168;Losser;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PK;WO;gedrag en maatschappij;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PK;WO;recht;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PM;WO;taal en cultuur;268;Nijmegen;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;202;Arnhem;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gedrag en maatschappij;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;onderwijs;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;techniek;153;Enschede;4
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;25KB;HBO;gezondheidszorg;345;Veenendaal;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;30HD;HBO;landbouw en natuurlijke omgeving;1735;Hof van Twente;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;21WN;HBO;economie;14;Groningen;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;0;Onbekend;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;147;Borne;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;150;Deventer;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;11
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;158;Haaksbergen;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;164;Hengelo;2
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;189;Wierden;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;3
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;164;Hengelo;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;techniek;153;Enschede;3
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;25DW;HBO;economie;344;Utrecht;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;25KB;HBO;gedrag en maatschappij;150;Deventer;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;25KB;HBO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;28DN;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;28DN;HBO;economie;163;Hellendoorn;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;28DN;HBO;economie;363;Amsterdam;1
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;01VU;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;22OJ;HBO;economie;599;Rotterdam;1
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;onderwijs;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;5
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;techniek;153;Enschede;6
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;techniek;173;Oldenzaal;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;techniek;1735;Hof van Twente;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;01VU;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;23AH;HBO;onderwijs;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;25KB;HBO;onderwijs;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;geen diploma;nat/gezond;27NF;HBO;taal en cultuur;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;geen diploma;nat/tech & nat/gezond;23AH;HBO;techniek;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;geen diploma;ec/maat & cul/maat;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PD;WO;natuur;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PD;WO;recht;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PE;WO;gedrag en maatschappij;599;Rotterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PH;WO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;economie;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;recht;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;economie;153;Enschede;3
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;gedrag en maatschappij;153;Enschede;2
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PK;WO;gedrag en maatschappij;363;Amsterdam;3
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;2
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PD;WO;taal en cultuur;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PM;WO;taal en cultuur;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;natuur;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;228;Ede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;772;Eindhoven;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gedrag en maatschappij;153;Enschede;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;153;Enschede;4
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;1735;Hof van Twente;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;228;Ede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PL;WO;natuur;362;Amstelveen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PB;WO;taal en cultuur;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PE;WO;gedrag en maatschappij;599;Rotterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PK;WO;gedrag en maatschappij;363;Amsterdam;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;07GR;HBO;techniek;855;Tilburg;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21CW;HBO;landbouw en natuurlijke omgeving;796;s-Hertogenbosch;4
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21MI;HBO;techniek;1714;Sluis;3
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;30GB;HBO;economie;855;Tilburg;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;07GR;HBO;economie;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21CW;HBO;landbouw en natuurlijke omgeving;796;s-Hertogenbosch;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;economie;1714;Sluis;3
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;onderwijs;1714;Sluis;2
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;sectoroverstijgend;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;techniek;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21UI;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;30GB;HBO;economie;855;Tilburg;3
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;gedrag en maatschappij;715;Terneuzen;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;gedrag en maatschappij;1714;Sluis;2
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;onderwijs;1714;Sluis;2
